	step	PT	UMAP1	UMAP2	lin	RT	lin2	RT_m	step_id
82	82	28.599067389999995	2.6012907	5.807315	ect2	Gastd4	Pluripotent Gastd4	97.68	82:ect2
83	83	28.637815999999997	2.4796915	5.5988417	ect2	Gastd4	Pluripotent Gastd4	99.12	83:ect2
84	84	28.676713569999997	2.4799159	5.8896294	ect2	Gastd4	Pluripotent Gastd4	98.16	84:ect2
85	85	28.715792779999997	2.3970022	5.7308	ect2	Gastd4	Pluripotent Gastd4	98.88	85:ect2
86	86	28.754130789999998	2.3933043	5.755011	ect2	Gastd4	Pluripotent Gastd4	97.92	86:ect2
87	87	28.79765904	2.4416425	5.8326135	ect2	Gastd4	Pluripotent Gastd4	98.4	87:ect2
88	88	28.833958929999998	2.4102697	5.6866155	ect2	Gastd4	Pluripotent Gastd4	97.68	88:ect2
89	89	28.87879089	2.3305151	5.512696	ect2	Gastd4	Pluripotent Gastd4	97.2	89:ect2
90	90	28.92074165	2.2221134	5.5012627	ect2	Gastd4	Pluripotent Gastd4	99.84	90:ect2
91	91	28.959044040000002	2.248336	5.7509236	ect2	Gastd4	Pluripotent Gastd4	98.16	91:ect2
92	92	28.999159840000008	2.1306396	5.6962886	ect2	Gastd4	Pluripotent Gastd4	101.04	92:ect2
93	93	29.04016415	2.1211996	5.7401323	ect2	Gastd4	Pluripotent Gastd4	99.84	93:ect2
