index,ect1_ct,ect2_ct,ect3_ct,mes1_ct,mes2_ct,mes3_ct,pluri1_ct,pluri2_ct,endo1_ct
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_231,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_280,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_256,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_122,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_115,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_176,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_139,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_317,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_22,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_199,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_214,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_178,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_175,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_311,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_63,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_334,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_10,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_4,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_253,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_255,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_170,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_116,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_259,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_327,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_191,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_162,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_275,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_264,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_369,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_14,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_329,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_326,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_117,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_174,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_249,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_151,Late Motor Neurons,,,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_322,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_180,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_302,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_226,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_368,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_310,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_206,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_34,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_263,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_87,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_5,,,,,,,Reprogramming PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_284,Late Motor Neurons,,,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_383,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_345,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_269,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_303,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_350,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_362,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
